captura,airbnb_listing_id,n_datas,d_min,d_max
2025-01-06 00:00:00+00:00,1977915,53,2025-02-13,2025-04-06
2025-01-06 00:00:00+00:00,3263701,22,2025-02-08,2025-04-06
2025-01-06 00:00:00+00:00,6569062,90,2025-01-06,2025-04-05
2025-01-06 00:00:00+00:00,8287843,61,2025-02-05,2025-04-06
2025-01-06 00:00:00+00:00,8838629,49,2025-01-21,2025-04-06
2025-01-06 00:00:00+00:00,8936081,27,2025-02-28,2025-04-06
2025-01-06 00:00:00+00:00,10340400,6,2025-03-06,2025-03-19
2025-01-06 00:00:00+00:00,11508986,13,2025-02-13,2025-03-08
2025-01-06 00:00:00+00:00,11567423,53,2025-01-20,2025-04-06
2025-01-06 00:00:00+00:00,12067632,30,2025-02-14,2025-03-31
2025-01-06 00:00:00+00:00,12359560,37,2025-02-13,2025-04-06
2025-01-06 00:00:00+00:00,12490354,63,2025-02-02,2025-04-05
2025-01-06 00:00:00+00:00,12931525,32,2025-01-15,2025-04-06
2025-01-06 00:00:00+00:00,13522176,32,2025-02-10,2025-04-06
2025-01-06 00:00:00+00:00,15500038,74,2025-01-15,2025-04-06
2025-01-06 00:00:00+00:00,15523493,49,2025-01-27,2025-04-06
2025-01-06 00:00:00+00:00,15549803,31,2025-01-13,2025-04-05
2025-01-06 00:00:00+00:00,15754075,37,2025-01-28,2025-03-31
2025-01-06 00:00:00+00:00,15909831,64,2025-02-02,2025-04-06
2025-01-06 00:00:00+00:00,15934309,56,2025-02-10,2025-04-06
2025-01-06 00:00:00+00:00,15980018,8,2025-03-30,2025-04-06
2025-01-06 00:00:00+00:00,16017693,36,2025-01-26,2025-03-31
2025-01-06 00:00:00+00:00,16105751,20,2025-01-29,2025-04-06
2025-01-06 00:00:00+00:00,16177778,63,2025-02-03,2025-04-06
2025-01-06 00:00:00+00:00,16253828,59,2025-01-29,2025-04-05
2025-01-06 00:00:00+00:00,16321793,60,2025-01-18,2025-04-06
2025-01-06 00:00:00+00:00,16451544,17,2025-03-05,2025-04-06
2025-01-06 00:00:00+00:00,16570256,47,2025-02-09,2025-04-06
2025-01-06 00:00:00+00:00,16586622,66,2025-01-31,2025-04-06
2025-01-06 00:00:00+00:00,16618715,73,2025-01-09,2025-04-05
2025-01-06 00:00:00+00:00,16644316,67,2025-01-06,2025-04-06
2025-01-06 00:00:00+00:00,16662563,62,2025-01-29,2025-03-31
2025-01-06 00:00:00+00:00,16992951,57,2025-01-21,2025-04-06
2025-01-06 00:00:00+00:00,17013106,59,2025-01-14,2025-04-06
2025-01-06 00:00:00+00:00,17034886,46,2025-01-06,2025-04-06
2025-01-06 00:00:00+00:00,17294276,40,2025-01-30,2025-03-31
2025-01-06 00:00:00+00:00,17511306,62,2025-01-24,2025-04-06
2025-01-06 00:00:00+00:00,17570590,54,2025-01-12,2025-04-06
2025-01-06 00:00:00+00:00,18395333,53,2025-02-09,2025-04-06
2025-01-06 00:00:00+00:00,18505349,17,2025-03-15,2025-04-06
