bairro,q,n_airbnb,rec_an_old,adr_med,occ_le15_med,occ_forward_med,occ_fwd_cel,rec_91d_novo,rec_an_novo,rec_an_med,n_viva,preco_med,area_med,rsm2_med,condo_med,iptu_med,conclusivo,indicativo,condo_ano,iptu_ano,custo_cond_iptu,custo_op,rec_liq_an,yield_bruto,yield_liq,yield_liq_adm
Alto Sao Bento,0,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Alto Sao Bento,1,1.0,79265.816,291.4286,1.0,0.408,0.5255,13935.2694,46243.6556,46243.6556,0.0,,,,,,False,False,0.0,0.0,0.0,4624.3656,41619.29,,,
Alto Sao Bento,2,1.0,75440.0182,188.375,1.0,0.408,0.5255,9007.5464,29891.1962,29891.1962,0.0,,,,,,False,False,0.0,0.0,0.0,2989.1196,26902.0766,,,
Alto Sao Bento,3,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Alto Sao Bento,4,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Canto Da Praia,0,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Canto Da Praia,1,0.0,,,,,,,,,7.0,780000.0,50.0,14220.6897,600.0,100.0,False,False,7200.0,100.0,7300.0,0.0,,,,
Canto Da Praia,2,4.0,88168.4036,531.2331,0.625,0.408,0.3284,15876.2653,52684.7756,52684.7756,14.0,1221806.5,87.5,14270.1149,1.0,1.0,False,False,12.0,1.0,13.0,5268.4776,47403.2981,,,
Canto Da Praia,3,1.0,82243.057,371.625,1.0,0.408,0.5255,17770.0301,58969.1615,58969.1615,66.0,1769930.0,116.0,15050.5051,700.0,600.0,False,False,8400.0,600.0,9000.0,5896.9162,44072.2454,,,
Canto Da Praia,4,0.0,,,,,,,,,16.0,6002000.0,211.0,23427.2659,1.0,2521.0,False,False,12.0,2521.0,2533.0,0.0,,,,
Casa Branca,0,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Casa Branca,1,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Casa Branca,2,4.0,78122.2753,260.6256,0.5938,0.408,0.312,7399.5265,24555.0442,24555.0442,20.0,655000.0,69.5,9714.2857,350.0,280.0,False,False,4200.0,280.0,4480.0,2455.5044,17619.5398,,,
Casa Branca,3,2.0,83659.7482,409.7857,0.75,0.408,0.3941,14696.0728,48768.3524,48768.3524,7.0,778000.0,70.0,10658.7714,,,False,False,0.0,0.0,0.0,4876.8352,43891.5171,,,
Casa Branca,4,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Centro,0,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
Centro,1,75.0,85343.1619,455.131,0.8125,0.408,0.4269,17682.4722,58678.6038,58678.6038,22.0,890000.0,42.0,14574.2754,500.0,1000.0,False,True,6000.0,1000.0,7000.0,5867.8604,45810.7434,0.0659,0.0515,0.0383
Centro,2,59.0,92310.9975,642.82,0.8125,0.408,0.4269,24974.4534,82876.7631,82876.7631,89.0,1150000.0,86.0,13068.1818,500.0,1000.0,True,False,6000.0,1000.0,7000.0,8287.6763,67589.0868,0.0721,0.0588,0.0444
Centro,3,38.0,95735.6048,735.0669,0.9062,0.408,0.4762,31853.5714,105704.8516,105704.8516,438.0,2100000.0,131.0,15789.4737,617.0,1300.0,True,False,7404.0,1300.0,8704.0,10570.4852,86430.3664,0.0503,0.0412,0.0311
Centro,4,1.0,91813.5702,629.4211,1.0,0.408,0.5255,30097.09,99876.0356,99876.0356,436.0,3900000.0,200.0,18889.8205,1000.0,1500.0,False,False,12000.0,1500.0,13500.0,9987.6036,76388.432,,,
Ilhota,0,0.0,,,,,,,,,0.0,,,,,,False,False,0.0,0.0,0.0,0.0,,,,
